"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17147-9644","SG","James","","Harden","52.97222222222222","18","11300","HOU@GS","HOU","GS","","","",""
"17147-40199","SG","Giannis","","Antetokounmpo","46.493751525878906","16","10300","MIL@BKN","MIL","BKN","","","",""
"17147-9646","SF","Kevin","","Durant","48.26111178927951","18","10200","HOU@GS","GS","HOU","","","",""
"17147-9488","SF","LeBron","","James","46.413334147135416","15","9700","LAC@CLE","CLE","LAC","","","",""
"17147-9524","PG","Stephen","","Curry","40.79444376627604","18","9200","HOU@GS","GS","HOU","","","",""
"17147-9623","PG","Chris","","Paul","41.1368408203125","19","9100","LAC@CLE","LAC","CLE","","","",""
"17147-9560","PF","Blake","","Griffin","40.02222357855903","18","9000","LAC@CLE","LAC","CLE","O","Rest","",""
"17147-12363","C","Hassan","","Whiteside","40.747059541590076","17","8700","MIA@UTA","MIA","UTA","","","",""
"17147-9874","PF","Kevin","","Love","38.36249923706055","16","8300","LAC@CLE","CLE","LAC","","","",""
"17147-14507","PG","Kemba","","Walker","38.57222154405382","18","8000","DAL@CHA","CHA","DAL","","","",""
"17147-15860","PF","Draymond","","Green","36.9058837890625","17","7700","HOU@GS","GS","HOU","","","",""
"17147-12366","SF","Gordon","","Hayward","35.53846153846154","13","7600","MIA@UTA","UTA","MIA","","","",""
"17147-14498","PG","Kyrie","","Irving","34.54999923706055","16","7400","LAC@CLE","CLE","LAC","","","",""
"17147-9575","PG","Mike","","Conley","33.747059541590076","17","7300","ORL@MEM","MEM","ORL","O","Back","",""
"17147-9621","C","Brook","","Lopez","31.5","15","7300","MIL@BKN","BKN","MIL","","","",""
"17147-40203","C","Rudy","","Gobert","30.405263800370065","19","7100","MIA@UTA","UTA","MIA","","","",""
"17147-9561","C","DeAndre","","Jordan","30.36842105263158","19","7000","LAC@CLE","LAC","CLE","","","",""
"17147-9581","C","Marc","","Gasol","32.94117647058823","17","7000","ORL@MEM","MEM","ORL","","","",""
"17147-14514","C","Nikola","","Vucevic","31.238888210720486","18","6900","ORL@MEM","ORL","MEM","","","",""
"17147-9673","PG","Goran","","Dragic","30.1750005086263","12","6800","MIA@UTA","MIA","UTA","","","",""
"17147-12351","PF","Derrick","","Favors","21.990908536044035","11","6500","MIA@UTA","UTA","MIA","O","Knee","",""
"17147-9809","SG","Nicolas","","Batum","29.870587517233457","17","6500","DAL@CHA","CHA","DAL","","","",""
"17147-42550","PF","Jabari","","Parker","30.15625","16","6400","MIL@BKN","MIL","BKN","","","",""
"17147-12443","PG","Jeremy","","Lin","30.460000610351564","5","6300","MIL@BKN","BKN","MIL","O","Hamstring","",""
"17147-9957","PF","Serge","","Ibaka","26.455556233723957","18","6300","ORL@MEM","ORL","MEM","","","",""
"17147-9703","PG","George","","Hill","31.709089799360797","11","6300","MIA@UTA","UTA","MIA","","","",""
"17147-15946","SF","Harrison","","Barnes","29.806249618530273","16","6100","DAL@CHA","DAL","CHA","","","",""
"17147-14509","SG","Klay","","Thompson","27.583333333333332","18","6100","HOU@GS","GS","HOU","","","",""
"17147-55059","C","Clint","","Capela","27.183332655164932","18","5900","HOU@GS","HOU","GS","","","",""
"17147-12350","PF","Trevor","","Booker","28.111764346852024","17","5900","MIL@BKN","BKN","MIL","","","",""
"17147-9500","PF","Dirk","","Nowitzki","23.38000030517578","5","5800","DAL@CHA","DAL","CHA","O","Achilles","",""
"17147-23096","SG","Evan","","Fournier","26.049999660915798","18","5800","ORL@MEM","ORL","MEM","","","",""
"17147-9495","PG","J.J.","","Barea","28.188888549804688","9","5700","DAL@CHA","DAL","CHA","O","Calf","",""
"17147-15520","SG","Sean","","Kilpatrick","24.8647066004136","17","5700","MIL@BKN","BKN","MIL","","","",""
"17147-19138","PG","Elfrid","","Payton","25.755555894639755","18","5700","ORL@MEM","ORL","MEM","GTD","Ankle","",""
"17147-9722","PG","Deron","","Williams","19.125","8","5700","DAL@CHA","DAL","CHA","","","",""
"17147-16220","SG","Dion","","Waiters","25.125","16","5500","MIA@UTA","MIA","UTA","O","Groin","",""
"17147-9579","PF","Zach","","Randolph","25.00666707356771","15","5400","ORL@MEM","MEM","ORL","O","Personal","",""
"17147-15904","SG","Rodney","","Hood","25.200000339084202","18","5300","MIA@UTA","UTA","MIA","GTD","Hamstring","",""
"17147-9538","SF","Trevor","","Ariza","24.922222561306423","18","5200","HOU@GS","HOU","GS","","","",""
"17147-15758","SF","Michael","","Kidd-Gilchrist","23.03529447667739","17","5200","DAL@CHA","CHA","DAL","","","",""
"17147-9556","SG","Eric","","Gordon","23.872222900390625","18","5000","HOU@GS","HOU","GS","","","",""
"17147-14501","C","Tristan","","Thompson","23.912500381469727","16","5000","LAC@CLE","CLE","LAC","","","",""
"17147-58084","SF","Justise","","Winslow","25.433332655164932","9","5000","MIA@UTA","MIA","UTA","O","Wrist","",""
"17147-18600","PG","Tyler","","Johnson","24.356250762939453","16","4800","MIA@UTA","MIA","UTA","","","",""
"17147-9799","SG","Wesley","","Matthews","21.559999593098958","15","4700","DAL@CHA","DAL","CHA","","","",""
"17147-14537","SF","Chandler","","Parsons","12.516666412353516","6","4700","ORL@MEM","MEM","ORL","O","Knee","",""
"17147-12337","C","Greg","","Monroe","22.386665852864585","15","4600","MIL@BKN","MIL","BKN","","","",""
"17147-15691","C","Cody","","Zeller","22.19333292643229","15","4600","DAL@CHA","CHA","DAL","","","",""
"17147-16233","SG","Josh","","Richardson","18.807692307692307","13","4600","MIA@UTA","MIA","UTA","GTD","Ankle","",""
"17147-16448","PF","Frank","","Kaminsky","21.600000381469727","16","4500","DAL@CHA","CHA","DAL","","","",""
"17147-9601","C","Andrew","","Bogut","20.99230722280649","13","4500","DAL@CHA","DAL","CHA","","","",""
"17147-14510","SG","Alec","","Burks","20.332257670740926","31","4500","MIA@UTA","UTA","MIA","O","Ankle","",""
"17147-15583","SG","Seth","","Curry","18.262500762939453","16","4500","DAL@CHA","DAL","CHA","","","",""
"17147-9966","SF","James","","Johnson","18.95294189453125","17","4500","MIA@UTA","MIA","UTA","","","",""
"17147-9772","PF","Ryan","","Anderson","20.144444783528645","18","4400","HOU@GS","HOU","GS","","","",""
"17147-15405","PF","JaMychal","","Green","18.966666327582466","18","4400","ORL@MEM","MEM","ORL","","","",""
"17147-12474","PG","Patrick","","Beverley","20.214285714285715","7","4400","HOU@GS","HOU","GS","","","",""
"17147-9451","PF","Marvin","","Williams","19.980000813802082","15","4400","DAL@CHA","CHA","DAL","O","Knee","",""
"17147-9655","SG","J.J.","","Redick","19.468420731393916","19","4300","LAC@CLE","LAC","CLE","","","",""
"17147-15952","C","John","","Henson","16.592857360839844","14","4200","MIL@BKN","MIL","BKN","","","",""
"17147-58461","PF","Trey","","Lyles","17.01578883120888","19","4200","MIA@UTA","UTA","MIA","","","",""
"17147-14505","C","Bismack","","Biyombo","18.111764346852024","17","4200","ORL@MEM","ORL","MEM","","","",""
"17147-14530","SF","Bojan","","Bogdanovic","19.95294189453125","17","4200","MIL@BKN","BKN","MIL","","","",""
"17147-20064","PG","Matthew","","Dellavedova","20.618749618530273","16","4100","MIL@BKN","MIL","BKN","","","",""
"17147-15559","SG","Jeremy","","Lamb","19.057141985212052","7","4100","DAL@CHA","CHA","DAL","GTD","Knee","",""
"17147-41594","SF","Aaron","","Gordon","19.444444444444443","18","4000","ORL@MEM","ORL","MEM","","","",""
"17147-58490","PG","Wade","","Baldwin IV","10.045454545454545","11","4000","ORL@MEM","MEM","ORL","","","",""
"17147-14500","PF","Derrick","","Williams","10.363636363636363","11","4000","MIA@UTA","MIA","UTA","","","",""
"17147-9956","SG","Wayne","","Ellington","14.399999618530273","1","4000","MIA@UTA","MIA","UTA","","","",""
"17147-9458","SG","Tony","","Allen","16.69090964577415","11","4000","ORL@MEM","MEM","ORL","","","",""
"17147-9715","SF","Marco","","Belinelli","17.816667344835068","18","4000","DAL@CHA","CHA","DAL","","","",""
"17147-15744","SG","Rodney","","McGruder","11.856249809265137","16","3900","MIA@UTA","MIA","UTA","","","",""
"17147-58247","PG","Isaiah","","Whitehead","13.353846623347355","13","3900","MIL@BKN","BKN","MIL","","","",""
"17147-42148","SF","Rondae","","Hollis-Jefferson","17.614286150251115","14","3900","MIL@BKN","BKN","MIL","","","",""
"17147-42665","PG","Andrew","","Harrison","15.6823533002068","17","3900","ORL@MEM","MEM","ORL","","","",""
"17147-9654","SF","Vince","","Carter","18.305555555555557","18","3900","ORL@MEM","MEM","ORL","O","Hip","",""
"17147-9678","PF","Channing","","Frye","17.89090936834162","11","3900","LAC@CLE","CLE","LAC","","","",""
"17147-12349","PF","Luke","","Babbitt","7.429411944221048","17","3800","MIA@UTA","MIA","UTA","","","",""
"17147-9664","SF","Andre","","Iguodala","16.711110432942707","18","3800","HOU@GS","GS","HOU","","","",""
"17147-9700","C","Spencer","","Hawes","16.476470947265625","17","3800","DAL@CHA","CHA","DAL","","","",""
"17147-9448","SG","Jamal","","Crawford","17.073683889288652","19","3800","LAC@CLE","LAC","CLE","","","",""
"17147-9506","SG","J.R.","","Smith","16.807692307692307","13","3700","LAC@CLE","CLE","LAC","","","",""
"17147-17491","SF","James","","Ennis","18.521427699497767","14","3700","ORL@MEM","MEM","ORL","O","Calf","",""
"17147-9587","SF","Michael","","Beasley","14.318750381469727","16","3700","MIL@BKN","MIL","BKN","","","",""
"17147-42662","SF","Troy","","Williams","7.883333206176758","12","3700","ORL@MEM","MEM","ORL","","","",""
"17147-15788","C","Justin","","Hamilton","16.34705846449908","17","3700","MIL@BKN","BKN","MIL","","","",""
"17147-9454","C","Zaza","","Pachulia","16.188888549804688","18","3700","HOU@GS","GS","HOU","","","",""
"17147-9466","PG","D.J.","","Augustin","14.527777777777779","18","3700","ORL@MEM","ORL","MEM","","","",""
"17147-58661","SG","Rashad","","Vaughn","9.577777438693577","9","3600","MIL@BKN","MIL","BKN","","","",""
"17147-16196","PF","Dwight","","Powell","15.918749809265137","16","3600","DAL@CHA","DAL","CHA","","","",""
"17147-17517","SF","Tony","","Snell","15.706667073567708","15","3600","MIL@BKN","MIL","BKN","","","",""
"17147-40819","PF","Jarell","","Martin","9.547059003044577","17","3600","ORL@MEM","MEM","ORL","","","",""
"17147-9613","PG","Devin","","Harris","14.212499618530273","64","3600","DAL@CHA","DAL","CHA","","","",""
"17147-23744","SF","Justin","","Anderson","16.375","16","3600","DAL@CHA","DAL","CHA","","","",""
"17147-16359","PG","Malcolm","","Brogdon","14.787500381469727","16","3600","MIL@BKN","MIL","BKN","","","",""
"17147-15592","PG","Austin","","Rivers","13.421052631578947","19","3600","LAC@CLE","LAC","CLE","","","",""
"17147-16363","SG","Joe","","Harris","14.258823170381433","17","3600","MIL@BKN","BKN","MIL","","","",""
"17147-23282","SF","Sam","","Dekker","12.549999660915798","18","3600","HOU@GS","HOU","GS","","","",""
"17147-9733","SG","Randy","","Foye","11.245454268022018","11","3500","MIL@BKN","BKN","MIL","","","",""
"17147-9739","C","JaVale","","McGee","7.4571429661342075","14","3500","HOU@GS","GS","HOU","","","",""
"17147-55055","PG","Dante","","Exum","11.755555894639757","18","3500","MIA@UTA","UTA","MIA","","","",""
"17147-40208","PG","Raul","","Neto","1.914285659790039","7","3500","MIA@UTA","UTA","MIA","","","",""
"17147-64017","C","Salah","","Mejri","9.950000127156576","12","3500","DAL@CHA","DAL","CHA","","","",""
"17147-9490","C","Anderson","","Varejao","5.959999847412109","5","3500","HOU@GS","GS","HOU","","","",""
"17147-9496","PG","Jason","","Terry","8.272727272727273","11","3500","MIL@BKN","MIL","BKN","","","",""
"17147-16411","SG","C.J.","","Wilcox","2.2714285169328963","7","3500","ORL@MEM","ORL","MEM","","","",""
"17147-58658","SG","Patrick","","McCaw","7.6999998826247","13","3500","HOU@GS","GS","HOU","","","",""
"17147-9512","C","Nene","","Hilario","13.956250190734863","16","3500","HOU@GS","HOU","GS","","","",""
"17147-9513","C","Chris","","Andersen","7.9571429661342075","7","3500","LAC@CLE","CLE","LAC","","","",""
"17147-71469","SG","Nicolas","","Brussino","5.784615149864783","13","3500","DAL@CHA","DAL","CHA","","","",""
"17147-71468","PG","Jonathan","","Gibson","14.90000025431315","6","3500","DAL@CHA","DAL","CHA","","","",""
"17147-9778","PF","Josh","","McRoberts","10.137499809265137","8","3500","MIA@UTA","MIA","UTA","","","",""
"17147-9525","PG","C.J.","","Watson","6.679999796549479","15","3500","ORL@MEM","ORL","MEM","","","",""
"17147-34615","C","Willie","","Reed","8.480000305175782","10","3500","MIA@UTA","MIA","UTA","","","",""
"17147-12344","PG","Greivis","","Vasquez","6.633333206176758","3","3500","MIL@BKN","BKN","MIL","O","Ankle","",""
"17147-43064","PG","Kay","","Felder","6.816666920979817","6","3500","LAC@CLE","CLE","LAC","","","",""
"17147-9785","SG","James","","Jones","3.8222223917643228","9","3500","LAC@CLE","CLE","LAC","","","",""
"17147-12348","SF","Wesley","","Johnson","9.42142813546317","14","3500","LAC@CLE","LAC","CLE","","","",""
"17147-9796","SF","Luc Richard","","Mbah a Moute","11.25789441560444","19","3500","LAC@CLE","LAC","CLE","","","",""
"17147-66117","C","Diamond","","Stone","3.5333334604899087","3","3500","LAC@CLE","LAC","CLE","","","",""
"17147-20805","SG","Troy","","Daniels","4.228571483067104","7","3500","ORL@MEM","MEM","ORL","","","",""
"17147-9542","PF","Luis","","Scola","11.481249809265137","16","3500","MIL@BKN","BKN","MIL","","","",""
"17147-20806","SF","Treveon","","Graham","4.040000152587891","5","3500","DAL@CHA","CHA","DAL","","","",""
"17147-9547","SF","Mike","","Dunleavy","8.12857164655413","14","3500","LAC@CLE","CLE","LAC","","","",""
"17147-55376","SF","Damjan","","Rudez","3.5799999237060547","10","3500","ORL@MEM","ORL","MEM","","","",""
"17147-66129","PF","Deyonta","","Davis","5.850000108991351","14","3500","ORL@MEM","MEM","ORL","","","",""
"17147-9553","C","Roy","","Hibbert","12.169230534480167","13","3500","DAL@CHA","CHA","DAL","","","",""
"17147-15955","PF","James Michael","","McAdoo","2.971428462437221","7","3500","HOU@GS","GS","HOU","","","",""
"17147-17747","SG","Ian","","Clark","10.093332926432291","15","3500","HOU@GS","GS","HOU","","","",""
"17147-59483","PF","Chris","","McCullough","5.662499904632568","8","3500","MIL@BKN","BKN","MIL","","","",""
"17147-16230","SG","Jordan","","McRae","6.55999984741211","10","3500","LAC@CLE","CLE","LAC","","","",""
"17147-23654","PF","Brice","","Johnson","0","0","3500","LAC@CLE","LAC","CLE","O","Back","",""
"17147-15469","PF","Quincy","","Acy","3.433333396911621","6","3500","DAL@CHA","DAL","CHA","","","",""
"17147-23920","PF","Anthony","","Bennett","9.61999969482422","10","3500","MIL@BKN","BKN","MIL","","","",""
"17147-74101","PG","Bobby","","Brown","0.5666666825612386","6","3500","HOU@GS","HOU","GS","","","",""
"17147-9589","PF","Udonis","","Haslem","3.4166666666666665","6","3500","MIA@UTA","MIA","UTA","","","",""
"17147-15736","C","Jeff","","Withey","7.5466664632161455","15","3500","MIA@UTA","UTA","MIA","","","",""
"17147-41082","C","Damian","","Jones","0","0","3500","HOU@GS","GS","HOU","","","",""
"17147-9605","PG","Ramon","","Sessions","12.705555386013454","18","3500","DAL@CHA","CHA","DAL","","","",""
"17147-9606","SF","Corey","","Brewer","9.149999830457899","18","3500","HOU@GS","HOU","GS","","","",""
"17147-58505","C","Chinanu","","Onuaku","0","0","3500","HOU@GS","HOU","GS","","","",""
"17147-23178","SF","Mirza","","Teletovic","10.379999796549479","15","3500","MIL@BKN","MIL","BKN","","","",""
"17147-63123","SG","Mario","","Hezonja","7.558333079020183","12","3500","ORL@MEM","ORL","MEM","","","",""
"17147-23189","PF","Joel","","Bolomboy","3.0142857687813893","7","3500","MIA@UTA","UTA","MIA","","","",""
"17147-15767","PF","Kyle","","Wiltjer","0.13333333532015482","3","3500","HOU@GS","HOU","GS","","","",""
"17147-66966","C","Stephen","","Zimmerman Jr.","4.150000095367432","2","3500","ORL@MEM","ORL","MEM","","","",""
"17147-9629","PF","David","","West","10.194444444444445","18","3500","HOU@GS","GS","HOU","","","",""
"17147-21665","SG","Alan","","Anderson","4.699999809265137","1","3500","LAC@CLE","LAC","CLE","","","",""
"17147-70820","PF","Thon","","Maker","4.520000076293945","5","3500","MIL@BKN","MIL","BKN","","","",""
"17147-9895","SF","Steve","","Novak","0.6000000238418579","2","3500","MIL@BKN","MIL","BKN","","","",""
"17147-42664","SG","Aaron","","Harrison","1.600000023841858","4","3500","DAL@CHA","CHA","DAL","","","",""
"17147-9643","PG","Shaun","","Livingston","9.827777438693577","18","3500","HOU@GS","GS","HOU","","","",""
"17147-15532","SG","K.J.","","McDaniels","8.200000127156576","12","3500","HOU@GS","HOU","GS","","","",""
"17147-9648","SF","Jeff","","Green","14","17","3500","ORL@MEM","ORL","MEM","","","",""
"17147-14515","SG","Iman","","Shumpert","13.659999593098958","15","3500","LAC@CLE","CLE","LAC","","","",""
"17147-59318","SF","Joe","","Ingles","9.521052310341283","19","3500","MIA@UTA","UTA","MIA","","","",""
"17147-9659","PF","Brandon","","Bass","6.2909088134765625","11","3500","LAC@CLE","LAC","CLE","","","",""
"17147-42689","PG","Tyler","","Ennis","5.976922842172476","13","3500","HOU@GS","HOU","GS","","","",""
"17147-14533","PG","Shelvin","","Mack","12.778947529039884","19","3500","MIA@UTA","UTA","MIA","","","",""
"17147-9671","PF","Marreese","","Speights","16.305262515419408","19","3500","LAC@CLE","LAC","CLE","","","",""
"17147-23757","PG","Brian","","Roberts","2.9600000381469727","5","3500","DAL@CHA","CHA","DAL","","","",""
"17147-9935","C","Brandan","","Wright","14.466667175292969","12","3500","ORL@MEM","MEM","ORL","O","Ankle","",""
"17147-58576","PF","Kevon","","Looney","8.8","15","3500","HOU@GS","GS","HOU","","","",""
"17147-14552","SG","DeAndre","","Liggins","4.909999847412109","10","3500","LAC@CLE","CLE","LAC","","","",""
"17147-42202","PF","Christian","","Wood","2.4000000953674316","1","3500","DAL@CHA","CHA","DAL","","","",""
"17147-23772","PG","Yogi","","Ferrell","9.544444613986546","9","3500","MIL@BKN","BKN","MIL","","","",""
"17147-23776","PF","Montrezl","","Harrell","10.277777777777779","9","3500","HOU@GS","HOU","GS","","","",""
"17147-9447","SF","Joe","","Johnson","16.38947336297286","19","3500","MIA@UTA","UTA","MIA","","","",""
"17147-15591","C","Miles","","Plumlee","8.056249618530273","16","3500","MIL@BKN","MIL","BKN","","","",""
"17147-23273","C","A.J.","","Hammons","3.6571429116385326","7","3500","DAL@CHA","DAL","CHA","","","",""
"17147-9706","SF","Richard","","Jefferson","9.243749618530273","16","3500","LAC@CLE","CLE","LAC","","","",""
"17147-9968","SG","Jodie","","Meeks","10.5","3","3500","ORL@MEM","ORL","MEM","GTD","Foot","",""
"17147-9459","SF","Paul","","Pierce","7.366666793823242","3","3500","LAC@CLE","LAC","CLE","","","",""
"17147-23798","SF","Caris","","LeVert","0","0","3500","MIL@BKN","BKN","MIL","O","Foot","",""
"17147-16376","SF","Dorian","","Finney-Smith","8.339999898274739","15","3500","DAL@CHA","DAL","CHA","","","",""
"17147-42488","PF","Arinze","","Onuaku","1.7333332697550456","3","3500","ORL@MEM","ORL","MEM","","","",""
"17147-9465","PG","Raymond","","Felton","10.010526155170641","19","3500","LAC@CLE","LAC","CLE","","","",""
"17147-9471","PF","Boris","","Diaw","8.11999969482422","10","3500","MIA@UTA","UTA","MIA","","","",""